key,tier,bn_quality,language,tokenizer,token_count,word_count_en
T1-07,T1,mixed,Yoruba,qwen2.5_7b,27.0,6
T1-07,T1,mixed,English,mistral_7b_v0.1,10.0,6
T1-07,T1,mixed,Bengali,mistral_7b_v0.1,29.0,6
T1-07,T1,mixed,Hindi,mistral_7b_v0.1,27.0,6
T1-07,T1,mixed,Arabic,mistral_7b_v0.1,30.0,6
T1-07,T1,mixed,Tamil,mistral_7b_v0.1,50.0,6
T1-07,T1,mixed,Yoruba,mistral_7b_v0.1,27.0,6
T1-08,T1,mixed,English,tiktoken_o200k,10.0,6
T1-08,T1,mixed,Bengali,tiktoken_o200k,24.0,6
T1-08,T1,mixed,Hindi,tiktoken_o200k,21.0,6
T1-08,T1,mixed,Arabic,tiktoken_o200k,21.0,6
T1-08,T1,mixed,Tamil,tiktoken_o200k,24.0,6
T1-08,T1,mixed,Yoruba,tiktoken_o200k,26.0,6
T1-08,T1,mixed,English,qwen2.5_7b,10.0,6
T1-08,T1,mixed,Bengali,qwen2.5_7b,65.0,6
T1-08,T1,mixed,Hindi,qwen2.5_7b,61.0,6
T1-08,T1,mixed,Arabic,qwen2.5_7b,24.0,6
T1-08,T1,mixed,Tamil,qwen2.5_7b,84.0,6
T1-08,T1,mixed,Yoruba,qwen2.5_7b,33.0,6
T1-08,T1,mixed,English,mistral_7b_v0.1,11.0,6
T1-08,T1,mixed,Bengali,mistral_7b_v0.1,66.0,6
T1-08,T1,mixed,Hindi,mistral_7b_v0.1,68.0,6
T1-08,T1,mixed,Arabic,mistral_7b_v0.1,49.0,6
T1-08,T1,mixed,Tamil,mistral_7b_v0.1,89.0,6
T1-08,T1,mixed,Yoruba,mistral_7b_v0.1,36.0,6
T1-09,T1,clean,English,tiktoken_o200k,10.0,10
T1-09,T1,clean,Bengali,tiktoken_o200k,23.0,10
T1-09,T1,clean,Hindi,tiktoken_o200k,19.0,10
T1-09,T1,clean,Arabic,tiktoken_o200k,9.0,10
T1-09,T1,clean,Tamil,tiktoken_o200k,29.0,10
T1-09,T1,clean,Yoruba,tiktoken_o200k,25.0,10
T1-09,T1,clean,English,qwen2.5_7b,10.0,10
T1-09,T1,clean,Bengali,qwen2.5_7b,72.0,10
T1-09,T1,clean,Hindi,qwen2.5_7b,50.0,10
T1-09,T1,clean,Arabic,qwen2.5_7b,9.0,10
T1-09,T1,clean,Tamil,qwen2.5_7b,86.0,10
T1-09,T1,clean,Yoruba,qwen2.5_7b,33.0,10
T1-09,T1,clean,English,mistral_7b_v0.1,10.0,10
T1-09,T1,clean,Bengali,mistral_7b_v0.1,72.0,10
T1-09,T1,clean,Hindi,mistral_7b_v0.1,58.0,10
T1-09,T1,clean,Arabic,mistral_7b_v0.1,32.0,10
T1-09,T1,clean,Tamil,mistral_7b_v0.1,85.0,10
T1-09,T1,clean,Yoruba,mistral_7b_v0.1,32.0,10
T1-10,T1,mixed,English,tiktoken_o200k,8.0,6
T1-10,T1,mixed,Bengali,tiktoken_o200k,11.0,6
T1-10,T1,mixed,Hindi,tiktoken_o200k,16.0,6
T1-10,T1,mixed,Arabic,tiktoken_o200k,14.0,6
T1-10,T1,mixed,Tamil,tiktoken_o200k,22.0,6
T1-10,T1,mixed,Yoruba,tiktoken_o200k,19.0,6
T1-10,T1,mixed,English,qwen2.5_7b,8.0,6
T1-10,T1,mixed,Bengali,qwen2.5_7b,30.0,6
T1-10,T1,mixed,Hindi,qwen2.5_7b,41.0,6
T1-10,T1,mixed,Arabic,qwen2.5_7b,18.0,6
T1-10,T1,mixed,Tamil,qwen2.5_7b,66.0,6
T1-10,T1,mixed,Yoruba,qwen2.5_7b,25.0,6
T1-10,T1,mixed,English,mistral_7b_v0.1,8.0,6
T1-10,T1,mixed,Bengali,mistral_7b_v0.1,30.0,6
T1-10,T1,mixed,Hindi,mistral_7b_v0.1,45.0,6
T1-10,T1,mixed,Arabic,mistral_7b_v0.1,35.0,6
T1-10,T1,mixed,Tamil,mistral_7b_v0.1,70.0,6
T1-10,T1,mixed,Yoruba,mistral_7b_v0.1,25.0,6
T1-11,T1,english_retained,English,tiktoken_o200k,6.0,2
T1-11,T1,english_retained,Bengali,tiktoken_o200k,6.0,2
T1-11,T1,english_retained,Hindi,tiktoken_o200k,10.0,2
T1-11,T1,english_retained,Arabic,tiktoken_o200k,9.0,2
T1-11,T1,english_retained,Tamil,tiktoken_o200k,11.0,2
T1-11,T1,english_retained,Yoruba,tiktoken_o200k,11.0,2
T1-11,T1,english_retained,English,qwen2.5_7b,6.0,2
T1-11,T1,english_retained,Bengali,qwen2.5_7b,6.0,2
T1-11,T1,english_retained,Hindi,qwen2.5_7b,17.0,2
T1-11,T1,english_retained,Arabic,qwen2.5_7b,9.0,2
T1-11,T1,english_retained,Tamil,qwen2.5_7b,21.0,2
T1-11,T1,english_retained,Yoruba,qwen2.5_7b,13.0,2
T1-11,T1,english_retained,English,mistral_7b_v0.1,6.0,2
T1-11,T1,english_retained,Bengali,mistral_7b_v0.1,6.0,2
T1-11,T1,english_retained,Hindi,mistral_7b_v0.1,19.0,2
T1-11,T1,english_retained,Arabic,mistral_7b_v0.1,17.0,2
T1-11,T1,english_retained,Tamil,mistral_7b_v0.1,21.0,2
T1-11,T1,english_retained,Yoruba,mistral_7b_v0.1,13.0,2
T1-12,T1,mixed,English,tiktoken_o200k,7.0,4
T1-12,T1,mixed,Bengali,tiktoken_o200k,9.0,4
T1-12,T1,mixed,Hindi,tiktoken_o200k,14.0,4
T1-12,T1,mixed,Arabic,tiktoken_o200k,13.0,4
T1-12,T1,mixed,Tamil,tiktoken_o200k,25.0,4
T1-12,T1,mixed,Yoruba,tiktoken_o200k,14.0,4
T1-12,T1,mixed,English,qwen2.5_7b,7.0,4
T1-12,T1,mixed,Bengali,qwen2.5_7b,22.0,4
T1-12,T1,mixed,Hindi,qwen2.5_7b,33.0,4
T1-12,T1,mixed,Arabic,qwen2.5_7b,14.0,4
T1-12,T1,mixed,Tamil,qwen2.5_7b,56.0,4
T1-12,T1,mixed,Yoruba,qwen2.5_7b,16.0,4
T1-12,T1,mixed,English,mistral_7b_v0.1,8.0,4
T1-12,T1,mixed,Bengali,mistral_7b_v0.1,24.0,4
T1-12,T1,mixed,Hindi,mistral_7b_v0.1,34.0,4
T1-12,T1,mixed,Arabic,mistral_7b_v0.1,31.0,4
T1-12,T1,mixed,Tamil,mistral_7b_v0.1,66.0,4
T1-12,T1,mixed,Yoruba,mistral_7b_v0.1,17.0,4
T1-13,T1,clean,English,tiktoken_o200k,10.0,10
T1-13,T1,clean,Bengali,tiktoken_o200k,15.0,10
T1-13,T1,clean,Hindi,tiktoken_o200k,16.0,10
T1-13,T1,clean,Arabic,tiktoken_o200k,17.0,10
T1-13,T1,clean,Tamil,tiktoken_o200k,28.0,10
T1-13,T1,clean,Yoruba,tiktoken_o200k,28.0,10
T1-13,T1,clean,English,qwen2.5_7b,10.0,10
T1-13,T1,clean,Bengali,qwen2.5_7b,39.0,10
T1-13,T1,clean,Hindi,qwen2.5_7b,44.0,10
T1-13,T1,clean,Arabic,qwen2.5_7b,19.0,10
T1-13,T1,clean,Tamil,qwen2.5_7b,86.0,10
T1-13,T1,clean,Yoruba,qwen2.5_7b,37.0,10
T1-13,T1,clean,English,mistral_7b_v0.1,11.0,10
T1-13,T1,clean,Bengali,mistral_7b_v0.1,42.0,10
T1-13,T1,clean,Hindi,mistral_7b_v0.1,49.0,10
T1-13,T1,clean,Arabic,mistral_7b_v0.1,52.0,10
T1-13,T1,clean,Tamil,mistral_7b_v0.1,93.0,10
T1-13,T1,clean,Yoruba,mistral_7b_v0.1,41.0,10
T1-14,T1,mixed,English,tiktoken_o200k,12.0,8
T1-14,T1,mixed,Bengali,tiktoken_o200k,18.0,8
T1-14,T1,mixed,Hindi,tiktoken_o200k,18.0,8
T1-14,T1,mixed,Arabic,tiktoken_o200k,21.0,8
T1-14,T1,mixed,Tamil,tiktoken_o200k,12.0,8
T1-14,T1,mixed,Yoruba,tiktoken_o200k,25.0,8
T1-14,T1,mixed,English,qwen2.5_7b,13.0,8
T1-14,T1,mixed,Bengali,qwen2.5_7b,42.0,8
T1-14,T1,mixed,Hindi,qwen2.5_7b,37.0,8
T1-14,T1,mixed,Arabic,qwen2.5_7b,23.0,8
T1-14,T1,mixed,Tamil,qwen2.5_7b,13.0,8
T1-14,T1,mixed,Yoruba,qwen2.5_7b,30.0,8
T1-14,T1,mixed,English,mistral_7b_v0.1,12.0,8
T1-14,T1,mixed,Bengali,mistral_7b_v0.1,44.0,8
T1-14,T1,mixed,Hindi,mistral_7b_v0.1,39.0,8
T1-14,T1,mixed,Arabic,mistral_7b_v0.1,51.0,8
T1-14,T1,mixed,Tamil,mistral_7b_v0.1,12.0,8
T1-14,T1,mixed,Yoruba,mistral_7b_v0.1,34.0,8
T1-15,T1,clean,English,tiktoken_o200k,10.0,10
T1-15,T1,clean,Bengali,tiktoken_o200k,18.0,10
T1-15,T1,clean,Hindi,tiktoken_o200k,18.0,10
T1-15,T1,clean,Arabic,tiktoken_o200k,12.0,10
T1-15,T1,clean,Tamil,tiktoken_o200k,16.0,10
T1-15,T1,clean,Yoruba,tiktoken_o200k,16.0,10
T1-15,T1,clean,English,qwen2.5_7b,10.0,10
T1-15,T1,clean,Bengali,qwen2.5_7b,60.0,10
T1-15,T1,clean,Hindi,qwen2.5_7b,60.0,10
T1-15,T1,clean,Arabic,qwen2.5_7b,16.0,10
T1-15,T1,clean,Tamil,qwen2.5_7b,61.0,10
T1-15,T1,clean,Yoruba,qwen2.5_7b,19.0,10
T1-15,T1,clean,English,mistral_7b_v0.1,10.0,10
T1-15,T1,clean,Bengali,mistral_7b_v0.1,59.0,10
T1-15,T1,clean,Hindi,mistral_7b_v0.1,71.0,10
T1-15,T1,clean,Arabic,mistral_7b_v0.1,40.0,10
T1-15,T1,clean,Tamil,mistral_7b_v0.1,57.0,10
T1-15,T1,clean,Yoruba,mistral_7b_v0.1,21.0,10
T1-16,T1,mixed,English,tiktoken_o200k,14.0,7
T1-16,T1,mixed,Bengali,tiktoken_o200k,25.0,7
T1-16,T1,mixed,Hindi,tiktoken_o200k,23.0,7
T1-16,T1,mixed,Arabic,tiktoken_o200k,20.0,7
T1-16,T1,mixed,Tamil,tiktoken_o200k,14.0,7
T1-16,T1,mixed,Yoruba,tiktoken_o200k,31.0,7
T1-16,T1,mixed,English,qwen2.5_7b,14.0,7
T1-16,T1,mixed,Bengali,qwen2.5_7b,49.0,7
T1-16,T1,mixed,Hindi,qwen2.5_7b,47.0,7
T1-16,T1,mixed,Arabic,qwen2.5_7b,21.0,7
T1-16,T1,mixed,Tamil,qwen2.5_7b,14.0,7
T1-16,T1,mixed,Yoruba,qwen2.5_7b,38.0,7
T1-16,T1,mixed,English,mistral_7b_v0.1,14.0,7
T1-16,T1,mixed,Bengali,mistral_7b_v0.1,49.0,7
T1-16,T1,mixed,Hindi,mistral_7b_v0.1,51.0,7
T1-16,T1,mixed,Arabic,mistral_7b_v0.1,41.0,7
T1-16,T1,mixed,Tamil,mistral_7b_v0.1,14.0,7
T1-16,T1,mixed,Yoruba,mistral_7b_v0.1,39.0,7
T1-17,T1,mixed,English,tiktoken_o200k,13.0,7
T1-17,T1,mixed,Bengali,tiktoken_o200k,24.0,7
T1-17,T1,mixed,Hindi,tiktoken_o200k,21.0,7
T1-17,T1,mixed,Arabic,tiktoken_o200k,21.0,7
T1-17,T1,mixed,Tamil,tiktoken_o200k,13.0,7
T1-17,T1,mixed,Yoruba,tiktoken_o200k,20.0,7
T1-17,T1,mixed,English,qwen2.5_7b,13.0,7
T1-17,T1,mixed,Bengali,qwen2.5_7b,48.0,7
T1-17,T1,mixed,Hindi,qwen2.5_7b,45.0,7
T1-17,T1,mixed,Arabic,qwen2.5_7b,20.0,7
T1-17,T1,mixed,Tamil,qwen2.5_7b,13.0,7
T1-17,T1,mixed,Yoruba,qwen2.5_7b,26.0,7
T1-17,T1,mixed,English,mistral_7b_v0.1,13.0,7
T1-17,T1,mixed,Bengali,mistral_7b_v0.1,48.0,7
T1-17,T1,mixed,Hindi,mistral_7b_v0.1,49.0,7
T1-17,T1,mixed,Arabic,mistral_7b_v0.1,41.0,7
T1-17,T1,mixed,Tamil,mistral_7b_v0.1,13.0,7
T1-17,T1,mixed,Yoruba,mistral_7b_v0.1,26.0,7
T1-18,T1,clean,English,tiktoken_o200k,9.0,9
T1-18,T1,clean,Bengali,tiktoken_o200k,22.0,9
T1-18,T1,clean,Hindi,tiktoken_o200k,19.0,9
T1-18,T1,clean,Arabic,tiktoken_o200k,15.0,9
T1-18,T1,clean,Tamil,tiktoken_o200k,23.0,9
T1-18,T1,clean,Yoruba,tiktoken_o200k,28.0,9
T1-18,T1,clean,English,qwen2.5_7b,9.0,9
T1-18,T1,clean,Bengali,qwen2.5_7b,64.0,9
T1-18,T1,clean,Hindi,qwen2.5_7b,58.0,9
T1-18,T1,clean,Arabic,qwen2.5_7b,18.0,9
T1-18,T1,clean,Tamil,qwen2.5_7b,72.0,9
T1-18,T1,clean,Yoruba,qwen2.5_7b,41.0,9
T1-18,T1,clean,English,mistral_7b_v0.1,9.0,9
T1-18,T1,clean,Bengali,mistral_7b_v0.1,64.0,9
T1-18,T1,clean,Hindi,mistral_7b_v0.1,64.0,9
T1-18,T1,clean,Arabic,mistral_7b_v0.1,50.0,9
T1-18,T1,clean,Tamil,mistral_7b_v0.1,77.0,9
T1-18,T1,clean,Yoruba,mistral_7b_v0.1,40.0,9
T1-19,T1,clean,English,tiktoken_o200k,10.0,10
T1-19,T1,clean,Bengali,tiktoken_o200k,24.0,10
T1-19,T1,clean,Hindi,tiktoken_o200k,22.0,10
T1-19,T1,clean,Arabic,tiktoken_o200k,14.0,10
T1-19,T1,clean,Tamil,tiktoken_o200k,27.0,10
T1-19,T1,clean,Yoruba,tiktoken_o200k,31.0,10
T1-19,T1,clean,English,qwen2.5_7b,10.0,10
T1-19,T1,clean,Bengali,qwen2.5_7b,65.0,10
T1-19,T1,clean,Hindi,qwen2.5_7b,55.0,10
T1-19,T1,clean,Arabic,qwen2.5_7b,17.0,10
T1-19,T1,clean,Tamil,qwen2.5_7b,85.0,10
T1-19,T1,clean,Yoruba,qwen2.5_7b,38.0,10
T1-19,T1,clean,English,mistral_7b_v0.1,10.0,10
T1-19,T1,clean,Bengali,mistral_7b_v0.1,64.0,10
T1-19,T1,clean,Hindi,mistral_7b_v0.1,63.0,10
T1-19,T1,clean,Arabic,mistral_7b_v0.1,40.0,10
T1-19,T1,clean,Tamil,mistral_7b_v0.1,83.0,10
T1-19,T1,clean,Yoruba,mistral_7b_v0.1,42.0,10
T1-20,T1,clean,English,tiktoken_o200k,11.0,11
T1-20,T1,clean,Bengali,tiktoken_o200k,20.0,11
T1-20,T1,clean,Hindi,tiktoken_o200k,14.0,11
T1-20,T1,clean,Arabic,tiktoken_o200k,15.0,11
T1-20,T1,clean,Tamil,tiktoken_o200k,25.0,11
T1-20,T1,clean,Yoruba,tiktoken_o200k,24.0,11
T1-20,T1,clean,English,qwen2.5_7b,11.0,11
T1-20,T1,clean,Bengali,qwen2.5_7b,54.0,11
T1-20,T1,clean,Hindi,qwen2.5_7b,51.0,11
T1-20,T1,clean,Arabic,qwen2.5_7b,18.0,11
T1-20,T1,clean,Tamil,qwen2.5_7b,66.0,11
T1-20,T1,clean,Yoruba,qwen2.5_7b,31.0,11
T1-20,T1,clean,English,mistral_7b_v0.1,12.0,11
T1-20,T1,clean,Bengali,mistral_7b_v0.1,57.0,11
T1-20,T1,clean,Hindi,mistral_7b_v0.1,56.0,11
T1-20,T1,clean,Arabic,mistral_7b_v0.1,43.0,11
T1-20,T1,clean,Tamil,mistral_7b_v0.1,66.0,11
T1-20,T1,clean,Yoruba,mistral_7b_v0.1,30.0,11
T2-01,T2,clean,English,tiktoken_o200k,58.0,51
T2-01,T2,clean,Bengali,tiktoken_o200k,87.0,51
T2-01,T2,clean,Hindi,tiktoken_o200k,85.0,51
T2-01,T2,clean,Arabic,tiktoken_o200k,79.0,51
T2-01,T2,clean,Tamil,tiktoken_o200k,106.0,51
T2-01,T2,clean,Yoruba,tiktoken_o200k,134.0,51
T2-01,T2,clean,English,qwen2.5_7b,58.0,51
T2-01,T2,clean,Bengali,qwen2.5_7b,262.0,51
T2-01,T2,clean,Hindi,qwen2.5_7b,244.0,51
T2-01,T2,clean,Arabic,qwen2.5_7b,95.0,51
T2-01,T2,clean,Tamil,qwen2.5_7b,332.0,51
T2-01,T2,clean,Yoruba,qwen2.5_7b,167.0,51
T2-01,T2,clean,English,mistral_7b_v0.1,58.0,51
T2-01,T2,clean,Bengali,mistral_7b_v0.1,266.0,51
T2-01,T2,clean,Hindi,mistral_7b_v0.1,277.0,51
T2-01,T2,clean,Arabic,mistral_7b_v0.1,206.0,51
T2-01,T2,clean,Tamil,mistral_7b_v0.1,352.0,51
T2-01,T2,clean,Yoruba,mistral_7b_v0.1,181.0,51
T2-02,T2,clean,English,tiktoken_o200k,53.0,46
T2-02,T2,clean,Bengali,tiktoken_o200k,95.0,46
T2-02,T2,clean,Hindi,tiktoken_o200k,89.0,46
T2-02,T2,clean,Arabic,tiktoken_o200k,79.0,46
T2-02,T2,clean,Tamil,tiktoken_o200k,117.0,46
T2-02,T2,clean,Yoruba,tiktoken_o200k,104.0,46
T2-02,T2,clean,English,qwen2.5_7b,54.0,46
T2-02,T2,clean,Bengali,qwen2.5_7b,314.0,46
T2-02,T2,clean,Hindi,qwen2.5_7b,271.0,46
T2-02,T2,clean,Arabic,qwen2.5_7b,87.0,46
T2-02,T2,clean,Tamil,qwen2.5_7b,407.0,46
T2-02,T2,clean,Yoruba,qwen2.5_7b,140.0,46
T2-02,T2,clean,English,mistral_7b_v0.1,58.0,46
T2-02,T2,clean,Bengali,mistral_7b_v0.1,330.0,46
T2-02,T2,clean,Hindi,mistral_7b_v0.1,305.0,46
T2-02,T2,clean,Arabic,mistral_7b_v0.1,222.0,46
T2-02,T2,clean,Tamil,mistral_7b_v0.1,437.0,46
T2-02,T2,clean,Yoruba,mistral_7b_v0.1,158.0,46
T2-03,T2,clean,English,tiktoken_o200k,56.0,49
T2-03,T2,clean,Bengali,tiktoken_o200k,104.0,49
T2-03,T2,clean,Hindi,tiktoken_o200k,71.0,49
T2-03,T2,clean,Arabic,tiktoken_o200k,69.0,49
T2-03,T2,clean,Tamil,tiktoken_o200k,92.0,49
T2-03,T2,clean,Yoruba,tiktoken_o200k,106.0,49
T2-03,T2,clean,English,qwen2.5_7b,55.0,49
T2-03,T2,clean,Bengali,qwen2.5_7b,297.0,49
T2-03,T2,clean,Hindi,qwen2.5_7b,214.0,49
T2-03,T2,clean,Arabic,qwen2.5_7b,85.0,49
T2-03,T2,clean,Tamil,qwen2.5_7b,328.0,49
T2-03,T2,clean,Yoruba,qwen2.5_7b,142.0,49
T2-03,T2,clean,English,mistral_7b_v0.1,57.0,49
T2-03,T2,clean,Bengali,mistral_7b_v0.1,319.0,49
T2-03,T2,clean,Hindi,mistral_7b_v0.1,242.0,49
T2-03,T2,clean,Arabic,mistral_7b_v0.1,214.0,49
T2-03,T2,clean,Tamil,mistral_7b_v0.1,339.0,49
T2-03,T2,clean,Yoruba,mistral_7b_v0.1,152.0,49
T2-04,T2,clean,English,tiktoken_o200k,51.0,47
T2-04,T2,clean,Bengali,tiktoken_o200k,90.0,47
T2-04,T2,clean,Hindi,tiktoken_o200k,89.0,47
T2-04,T2,clean,Arabic,tiktoken_o200k,57.0,47
T2-04,T2,clean,Tamil,tiktoken_o200k,100.0,47
T2-04,T2,clean,Yoruba,tiktoken_o200k,117.0,47
T2-04,T2,clean,English,qwen2.5_7b,50.0,47
T2-04,T2,clean,Bengali,qwen2.5_7b,268.0,47
T2-04,T2,clean,Hindi,qwen2.5_7b,286.0,47
T2-04,T2,clean,Arabic,qwen2.5_7b,72.0,47
T2-04,T2,clean,Tamil,qwen2.5_7b,348.0,47
