Key,English,Bengali,Hindi,Arabic,Tamil,Yoruba,,
T1-11,KeyError: 'name',KeyError: 'name',कुंजी त्रुटि: 'नाम',خطأ في المفتاح: 'name',விசைப்பிழை: 'பெயர்',Àṣìṣe Key: 'orúkọ',,
T1-12,ZeroDivisionError: division by zero,ZeroDivisionError: শূন্য দ্বারা ভাগ,शून्य विभाजन त्रुटि: शून्य से भाग,خطأ القسمة على صفر: القسمة على صفر,பூஜ்ஜியத்தால் வகுத்தல் பிழை: பூஜ்ஜியத்தால் வகுத்தல்,Àṣìṣe ZeroDivision: pínpín sí òdo,,
T1-13,Check that the divisor is not zero before performing division,ভাগ করার আগে দেখে নিন ভাজক শূন্য নয়।,भाग करने से पहले यह जांच लें कि भाजक शून्य न हो।,تأكد من أن المقسوم عليه ليس صفرًا قبل إجراء عملية القسمة,வகுத்தல் செய்வதற்கு முன் வகுக்கும் எண் பூஜ்ஜியமாக இல்லை என்பதைச் சரிபார்க்கவும்.,Ṣàyẹ̀wò pé olùpínpín kìí ṣe òdo kí o tó ṣe ìpínpín,,
T1-14,ValueError: invalid literal for int() with base 10,ValueError: 10 ভিত্তিক int() এর জন্য আক্ষরিক মান অবৈধ,ValueError: int() के लिए आधार 10 के साथ अमान्य लिटरल,خطأ في القيمة: قيمة حرفية غير صالحة للدالة int() مع الأساس 10,ValueError: invalid literal for int() with base 10,Èsì Value: àìtọ́ literal fún int() pẹ̀lú ìpìlẹ̀ 10,,
T1-15,The value provided cannot be converted to the required type,প্রদত্ত মানটি প্রয়োজনীয় ধরনে রূপান্তর করা সম্ভব নয়।,प्रदान किए गए मान को आवश्यक प्रकार में परिवर्तित नहीं किया जा सकता है।,لا يمكن تحويل القيمة المُدخلة إلى النوع المطلوب,வழங்கப்பட்ட மதிப்பைத் தேவையான வகையாக மாற்ற முடியாது.,A ko le yi iye ti a pese pada si iru ti a beere fun,,
T1-16,AttributeError: 'NoneType' object has no attribute 'split',AttributeError: 'NoneType' অবজেক্টের 'split' নামক কোনো অ্যাট্রিবিউট নেই,AttributeError: 'NoneType' ऑब्जेक्ट में 'split' नामक कोई विशेषता नहीं है।,خطأ في السمة: الكائن 'NoneType' لا يحتوي على السمة 'split',AttributeError: 'NoneType' object has no attribute 'split',Àṣìṣe Àbùkù: Ohun tí a ń pè ní 'NoneType' kò ní àmì 'pínyà',,
T1-17,AttributeError: 'int' object has no attribute 'append',AttributeError: 'int' অবজেক্টের 'append' নামক কোনো অ্যাট্রিবিউট নেই,AttributeError: 'int' ऑब्जेक्ट में 'append' नामक कोई विशेषता नहीं है,خطأ في السمة: الكائن من نوع 'int' لا يملك السمة 'append',AttributeError: 'int' object has no attribute 'append',Àṣìṣe Àṣìṣe: ohun 'int' kò ní àmì 'append',,
T1-18,The program runs without error but produces incorrect output,প্রোগ্রামটি ত্রুটি ছাড়াই চলে কিন্তু ভুল আউটপুট তৈরি করে।,प्रोग्राम बिना किसी त्रुटि के चलता है लेकिन गलत आउटपुट देता है।,يعمل البرنامج بدون أخطاء ولكنه ينتج مخرجات غير صحيحة,"நிரல் பிழையின்றி இயங்குகிறது, ஆனால் தவறான வெளியீட்டை அளிக்கிறது.",Ètò náà kò ní àṣìṣe ṣùgbọ́n ó ń mú àbájáde tí kò tọ́ jáde,,
T1-19,Review the condition in the if statement for logical accuracy,যৌক্তিক নির্ভুলতার জন্য if স্টেটমেন্টের শর্তটি পর্যালোচনা করুন।,इफ स्टेटमेंट में दी गई शर्त की तार्किक सटीकता की समीक्षा करें।,راجع الشرط في عبارة if للتأكد من صحته المنطقية,if கூற்றில் உள்ள நிபந்தனையின் தர்க்கரீதியான துல்லியத்தை மதிப்பாய்வு செய்யவும்.,Ṣe àtúnyẹ̀wò ipò náà nínú gbólóhùn if fún ìṣedéédé tó péye,,
T1-20,The loop does not terminate because the condition is never false,"লুপটি শেষ হয় না, কারণ শর্তটি কখনোই মিথ্যা হয় না।",यह लूप समाप्त नहीं होता क्योंकि शर्त कभी गलत नहीं होती।,لا تنتهي الحلقة لأن الشرط لا يكون خاطئًا أبدًا,"நிபந்தனை ஒருபோதும் தவறாக இல்லாததால், சுழற்சி முடிவடையாது.",Lílo náà kò parí nítorí pé ipò náà kì í ṣe èké rárá,,
T2-01,"This error occurs because Python encountered a line of code it cannot parse according to its syntax rules. A common cause is a missing colon at the end of an if, for, while, or def statement. The colon must be added at the end of the statement before the indented block.","এই ত্রুটিটি ঘটে কারণ পাইথন এমন একটি কোড লাইনের সম্মুখীন হয় যা সে তার সিনট্যাক্স নিয়ম অনুযায়ী পার্স করতে পারে না। এর একটি সাধারণ কারণ হলো if, for, while, বা def স্টেটমেন্টের শেষে কোলন না থাকা। ইনডেন্টেড ব্লকের আগে, স্টেটমেন্টের শেষে কোলনটি অবশ্যই যোগ করতে হবে।","यह त्रुटि इसलिए होती है क्योंकि पायथन को कोड की एक ऐसी पंक्ति मिली है जिसे वह अपने सिंटैक्स नियमों के अनुसार पार्स नहीं कर सकता। इसका एक सामान्य कारण if, for, while या def स्टेटमेंट के अंत में कॉलन का न होना है। कॉलन को स्टेटमेंट के अंत में इंडेंटेड ब्लॉक से पहले जोड़ना आवश्यक है।",يحدث هذا الخطأ لأن بايثون واجهت سطرًا برمجيًا لا يمكنها تحليله وفقًا لقواعدها النحوية. أحد الأسباب الشائعة هو غياب النقطتين الرأسيتين في نهاية جملة if أو for أو while أو def. يجب إضافة النقطتين الرأسيتين في نهاية الجملة قبل الكتلة المُزاحة.,"பைத்தானின் தொடரியல் விதிகளின்படி அதனால் பகுப்பாய்வு செய்ய முடியாத ஒரு நிரல் வரியை அது எதிர்கொள்வதால் இந்தப் பிழை ஏற்படுகிறது. if, for, while, அல்லது def கூற்றின் இறுதியில் பெருங்குறி (:) விடுபட்டிருப்பது ஒரு பொதுவான காரணமாகும். அந்தக் கூற்றானது, உள்ளிழுத்த தொகுதிக்கு (indented block) முன்பு, கூற்றின் இறுதியில் சேர்க்கப்பட வேண்டும்.","Àṣìṣe yìí wáyé nítorí pé Python rí ìlà kódì kan tí kò lè ṣàtúpalẹ̀ gẹ́gẹ́ bí òfin ìṣàpèjúwe rẹ̀. Ohun tó wọ́pọ̀ ni ìṣàkódì tí kò sí ní ìparí gbólóhùn if, for, while, tàbí def. A gbọ́dọ̀ fi ìṣàkódì náà kún ní ìparí gbólóhùn náà kí ó tó di pé a ti fi ìṣàkódì náà sí i.",,
T2-02,"An IndentationError occurs because Python uses indentation to define code blocks, and the indentation is inconsistent or missing. All lines inside a block must be indented by the same number of spaces. The indentation of the affected line must be corrected to match the expected level.",একটি IndentationError ঘটে কারণ পাইথন কোড ব্লক সংজ্ঞায়িত করতে ইন্ডেন্টেশন ব্যবহার করে এবং সেই ইন্ডেন্টেশনটি অসামঞ্জস্যপূর্ণ বা অনুপস্থিত থাকে। একটি ব্লকের ভেতরের সমস্ত লাইন অবশ্যই একই সংখ্যক স্পেস দ্বারা ইন্ডেন্ট করা থাকতে হবে। প্রভাবিত লাইনটির ইন্ডেন্টেশন অবশ্যই প্রত্যাশিত স্তরের সাথে মেলানোর জন্য সংশোধন করতে হবে।,"इंडेंटेशन त्रुटि तब उत्पन्न होती है जब पायथन कोड ब्लॉक को परिभाषित करने के लिए इंडेंटेशन का उपयोग करता है, और इंडेंटेशन असंगत या अनुपस्थित होता है। ब्लॉक के भीतर सभी पंक्तियों में समान संख्या में रिक्त स्थान होने चाहिए। प्रभावित पंक्ति के इंडेंटेशन को अपेक्षित स्तर के अनुरूप ठीक किया जाना चाहिए।",يحدث خطأ المسافة البادئة لأن بايثون تستخدم المسافة البادئة لتحديد كتل التعليمات البرمجية، وهذه المسافة غير متناسقة أو مفقودة. يجب أن تكون جميع الأسطر داخل الكتلة مُزاحة بنفس عدد المسافات. يجب تصحيح المسافة البادئة للسطر المتأثر لتتوافق مع المستوى المتوقع.,"பைதான் குறியீட்டுத் தொகுதிகளை வரையறுக்க உள்ளிழுப்பைப் பயன்படுத்துவதாலும், அந்த உள்ளிழுப்பு சீரற்றதாகவோ அல்லது விடுபட்டோ இருப்பதாலும் ஒரு உள்ளிழுப்புப் பிழை (IndentationError) ஏற்படுகிறது. ஒரு தொகுதிக்குள் உள்ள அனைத்து வரிகளும் ஒரே எண்ணிக்கையிலான இடைவெளிகளால் உள்ளிழுக்கப்பட வேண்டும். பாதிக்கப்பட்ட வரியின் உள்ளிழுப்பானது, எதிர்பார்க்கப்படும் நிலைக்குப் பொருந்தும்படி சரிசெய்யப்பட வேண்டும்.","Àṣìṣe Indentation kan máa ń ṣẹlẹ̀ nítorí pé Python ń lo indentation láti ṣàlàyé àwọn blocks kódì, àti indentation náà kò báramu tàbí kò sí níbẹ̀. Gbogbo àwọn ìlà inú block kan gbọ́dọ̀ ní iye àlàfo kan náà. A gbọ́dọ̀ ṣe àtúnṣe indentation ti ìlà tí ó kan láti bá ipele tí a retí mu.",,
T2-03,"This TypeError occurs because Python does not allow a string and an integer to be added together directly. In Python, the plus operator between a string and an integer is not defined. The integer must be converted to a string using the str() function before the concatenation is performed.","এই TypeError-টি ঘটে কারণ পাইথন একটি স্ট্রিং এবং একটি পূর্ণসংখ্যাকে সরাসরি একসাথে যোগ করার অনুমতি দেয় না। পাইথনে, একটি স্ট্রিং এবং একটি পূর্ণসংখ্যার মধ্যে যোগ চিহ্ন (plus operator) সংজ্ঞায়িত নয়। সংযুক্তিকরণ (concatenation) করার আগে, পূর্ণসংখ্যাটিকে অবশ্যই str() ফাংশন ব্যবহার করে একটি স্ট্রিং-এ রূপান্তর করতে হবে।",यह TypeError इसलिए होता है क्योंकि Python में स्ट्रिंग और पूर्णांक को सीधे जोड़ना संभव नहीं है। Python में स्ट्रिंग और पूर्णांक के बीच 'प्लस' ऑपरेटर परिभाषित नहीं है। जोड़ने से पहले पूर्णांक को str() फ़ंक्शन का उपयोग करके स्ट्रिंग में परिवर्तित करना आवश्यक है।,يحدث هذا الخطأ من نوع TypeError لأن لغة بايثون لا تسمح بجمع سلسلة نصية مع عدد صحيح مباشرةً. في بايثون، لا يوجد تعريف لمعامل الجمع (+) بين السلسلة النصية والعدد الصحيح. يجب تحويل العدد الصحيح إلى سلسلة نصية باستخدام الدالة str() قبل إجراء عملية الجمع.,"பைத்தான் ஒரு சரத்தையும் ஒரு முழு எண்ணையும் நேரடியாக ஒன்றாகக் கூட்ட அனுமதிப்பதில்லை என்பதால் இந்த TypeError ஏற்படுகிறது. பைத்தானில், ஒரு சரத்திற்கும் முழு எண்ணுக்கும் இடையேயான கூட்டல் செயலி வரையறுக்கப்படவில்லை. சரம் இணைக்கப்படுவதற்கு முன்பு, str() செயல்பாட்டைப் பயன்படுத்தி அந்த முழு எண்ணைச் சரமாக மாற்ற வேண்டும்.","Àṣìṣe Iru yìí máa ń ṣẹlẹ̀ nítorí pé Python kò gbà kí a fi okùn àti okùn kan papọ̀ tààrà. Nínú Python, a kò ṣàlàyé olùṣiṣẹ́ plus láàárín okùn kan àti okùn kan. A gbọ́dọ̀ yí okùn náà padà sí okùn kan nípa lílo iṣẹ́ str() kí a tó ṣe ìdàpọ̀ náà.",,
T2-04,A TypeError of this kind occurs when an operation is applied to a value of the wrong data type. Python requires that both operands support the operation being performed. The data types of both values must be checked and converted as needed before the operation is attempted.,"ভুল ডেটা টাইপের কোনো মানের উপর অপারেশন প্রয়োগ করা হলে এই ধরনের TypeError ঘটে। পাইথনের নিয়ম অনুযায়ী, উভয় অপারেন্ডকেই সম্পাদিত অপারেশনটি সমর্থন করতে হয়। অপারেশনটি শুরু করার আগে উভয় মানের ডেটা টাইপ অবশ্যই পরীক্ষা করে প্রয়োজন অনুযায়ী রূপান্তর করতে হবে।",इस प्रकार की टाइप एरर तब होती है जब किसी ऑपरेशन को गलत डेटा प्रकार के मान पर लागू किया जाता है। पायथन के लिए आवश्यक है कि दोनों ऑपरेंड उस ऑपरेशन का समर्थन करते हों जिसे निष्पादित किया जा रहा है। ऑपरेशन करने से पहले दोनों मानों के डेटा प्रकारों की जाँच की जानी चाहिए और आवश्यकतानुसार उन्हें परिवर्तित किया जाना चाहिए।,يحدث خطأ من هذا النوع عند تطبيق عملية على قيمة من نوع بيانات خاطئ. يتطلب بايثون أن يدعم كلا المعاملين العملية المراد تنفيذها. يجب التحقق من أنواع بيانات كلتا القيمتين وتحويلها حسب الحاجة قبل محاولة تنفيذ العملية.,"தவறான தரவு வகையைச் சேர்ந்த ஒரு மதிப்பின் மீது ஒரு செயல்பாடு பயன்படுத்தப்படும்போது, ​​இவ்வகையான TypeError ஏற்படுகிறது. செய்யப்படும் செயல்பாட்டை இரண்டு செயலுருபுகளும் ஆதரிக்க வேண்டும் என பைதான் எதிர்பார்க்கிறது. செயல்பாட்டை முயற்சிப்பதற்கு முன்பு, இரண்டு மதிப்புகளின் தரவு வகைகளும் சரிபார்க்கப்பட்டு, தேவைக்கேற்ப மாற்றப்பட வேண்டும்.",Irú Àṣìṣe Irú yìí máa ń ṣẹlẹ̀ nígbà tí a bá lo iṣẹ́ kan sí iye tí kò tọ́ tí irú dátà kan. Python nílò kí àwọn operand méjèèjì ṣètìlẹ́yìn iṣẹ́ tí a ń ṣe. A gbọ́dọ̀ ṣàyẹ̀wò àwọn irú dátà ti àwọn iye méjèèjì kí a sì yí wọn padà bí ó ṣe yẹ kí a tó gbìyànjú iṣẹ́ náà.,,
T2-05,A NameError occurs because Python cannot find a variable with the given name in the current scope. This usually means the variable has not been assigned a value before it is used. The variable must be defined and assigned a value before the line that references it.,"একটি NameError ঘটে কারণ পাইথন বর্তমান স্কোপে প্রদত্ত নামের কোনো ভেরিয়েবল খুঁজে পায় না। এর মানে সাধারণত এই যে, ভেরিয়েবলটি ব্যবহার করার আগে সেটিতে কোনো মান অ্যাসাইন করা হয়নি। যে লাইনে ভেরিয়েবলটিকে রেফারেন্স করা হবে, তার আগে অবশ্যই সেটিকে সংজ্ঞায়িত করে একটি মান অ্যাসাইন করতে হবে।",NameError तब होता है जब Python वर्तमान स्कोप में दिए गए नाम का कोई वेरिएबल नहीं ढूंढ पाता है। इसका आमतौर पर मतलब यह होता है कि वेरिएबल का उपयोग करने से पहले उसे कोई मान असाइन नहीं किया गया है। वेरिएबल को परिभाषित किया जाना चाहिए और उसे संदर्भित करने वाली पंक्ति से पहले उसे एक मान असाइन किया जाना चाहिए।,يحدث خطأ NameError لأن بايثون لا تستطيع العثور على متغير بالاسم المحدد في النطاق الحالي. وهذا يعني عادةً أن المتغير لم يُسند إليه قيمة قبل استخدامه. يجب تعريف المتغير وإسناد قيمة له قبل السطر الذي يشير إليه.,"தற்போதைய ஸ்கோப்பில் கொடுக்கப்பட்ட பெயரில் ஒரு மாறியை பைத்தானால் கண்டுபிடிக்க முடியாததால் NameError ஏற்படுகிறது. பொதுவாக, ஒரு மாறி பயன்படுத்தப்படுவதற்கு முன்பு அதற்கு ஒரு மதிப்பு ஒதுக்கப்படவில்லை என்பதே இதன் பொருள். அந்த மாறியைக் குறிப்பிடும் வரிக்கு முன்பே, அது வரையறுக்கப்பட்டு ஒரு மதிப்பு ஒதுக்கப்பட்டிருக்க வேண்டும்.",Àṣìṣe NameError kan máa ń wáyé nítorí pé Python kò lè rí onírúuru kan pẹ̀lú orúkọ tí a fúnni nínú àkójọpọ̀ ìsinsìnyí. Èyí sábà máa ń túmọ̀ sí pé a kò ti yan onírúuru náà fúnni kí a tó lò ó. A gbọ́dọ̀ ṣàlàyé onírúuru náà kí a sì yan iye kan ṣáájú ìlà tí ó tọ́ka sí i.,,
T2-06,"An UnboundLocalError occurs when a variable is referenced inside a function before it has been assigned a value in that local scope. Python treats the variable as local because it is assigned somewhere in the function, but the assignment has not yet been reached. The variable must be assigned a value before it is used within the function.","একটি UnboundLocalError ঘটে যখন কোনো ফাংশনের লোকাল স্কোপে কোনো ভেরিয়েবলকে মান অ্যাসাইন করার আগেই সেটিকে সেই ফাংশনের ভেতরে রেফারেন্স করা হয়। পাইথন ভেরিয়েবলটিকে লোকাল হিসেবে গণ্য করে কারণ ফাংশনের কোথাও এটিকে মান অ্যাসাইন করা হয়েছে, কিন্তু সেই অ্যাসাইনমেন্টটি তখনও সম্পন্ন হয়নি। ফাংশনের ভেতরে ব্যবহার করার আগে ভেরিয়েবলটিকে অবশ্যই একটি মান অ্যাসাইন করতে হবে।","अनबाउंडलोकल एरर तब होता है जब किसी वेरिएबल को फंक्शन के अंदर तब संदर्भित किया जाता है जब उसे उस लोकल स्कोप में कोई मान असाइन नहीं किया गया होता है। पायथन वेरिएबल को लोकल मानता है क्योंकि उसे फंक्शन में कहीं मान असाइन किया गया है, लेकिन अभी तक उस असाइनमेंट तक नहीं पहुंचा गया है। फंक्शन के अंदर उपयोग करने से पहले वेरिएबल को एक मान असाइन किया जाना चाहिए।",يحدث خطأ UnboundLocalError عندما تتم الإشارة إلى متغير داخل دالة قبل إسناد قيمة له في نطاقه المحلي. يتعامل بايثون مع المتغير كمتغير محلي لأنه تم إسناد قيمة له في مكان ما داخل الدالة، ولكن لم يتم الوصول إلى عملية الإسناد بعد. يجب إسناد قيمة للمتغير قبل استخدامه داخل الدالة.,"ஒரு மாறிக்கு அதன் உள்ளூர் எல்லைக்குள் மதிப்பு ஒதுக்கப்படுவதற்கு முன்பே, அது ஒரு சார்புக்குள் பயன்படுத்தப்படும்போது UnboundLocalError ஏற்படுகிறது. சார்புக்குள் எங்கோ ஒரு இடத்தில் மதிப்பு ஒதுக்கப்பட்டிருந்தாலும், அந்த மதிப்பு ஒதுக்கீடு இன்னும் அடையப்படாததால், பைதான் அந்த மாறியை உள்ளூர் மாறியாகக் கருதுகிறது. சார்புக்குள் பயன்படுத்தப்படுவதற்கு முன்பு, அந்த மாறிக்கு ஒரு மதிப்பு ஒதுக்கப்பட்டிருக்க வேண்டும்.","UnboundLocalError kan maa n waye nigbati a ba tọka si oniyipada ninu iṣẹ kan ki a to fi iye kan fun un ninu agbegbe naa. Python maa n wo oniyipada naa bi agbegbe nitori pe a ti yan an ni ibikan ninu iṣẹ naa, ṣugbọn a ko tii de ipo ipin naa. A gbọdọ yan oniyipada naa ni iye kan ki a to lo o ninu iṣẹ naa.",,
T2-07,An IndexError occurs because the index used to access a list element is outside the valid range of the list. List indices in Python begin at zero and end at one less than the length of the list. The index value must be checked to ensure it falls within the valid range before the list is accessed.,একটি IndexError ঘটে কারণ লিস্টের কোনো এলিমেন্ট অ্যাক্সেস করার জন্য ব্যবহৃত ইন্ডেক্সটি লিস্টের বৈধ সীমার বাইরে থাকে। পাইথনে লিস্টের ইন্ডেক্স শূন্য থেকে শুরু হয় এবং লিস্টের দৈর্ঘ্যের চেয়ে এক কম সংখ্যায় শেষ হয়। লিস্টটি অ্যাক্সেস করার আগে ইন্ডেক্সের মানটি বৈধ সীমার মধ্যে আছে কিনা তা অবশ্যই যাচাই করে নিতে হবে।,IndexError तब होता है जब सूची के किसी तत्व को एक्सेस करने के लिए उपयोग किया गया इंडेक्स सूची की मान्य सीमा से बाहर होता है। पायथन में सूची इंडेक्स शून्य से शुरू होते हैं और सूची की लंबाई से एक कम पर समाप्त होते हैं। सूची को एक्सेस करने से पहले इंडेक्स मान की जांच करना आवश्यक है ताकि यह सुनिश्चित हो सके कि यह मान्य सीमा के भीतर आता है।,يحدث خطأ IndexError لأن الفهرس المستخدم للوصول إلى عنصر في القائمة يقع خارج النطاق الصحيح للقائمة. تبدأ فهارس القوائم في بايثون من الصفر وتنتهي عند قيمة أقل بواحد من طول القائمة. يجب التحقق من قيمة الفهرس للتأكد من أنها تقع ضمن النطاق الصحيح قبل الوصول إلى القائمة.,"ஒரு பட்டியல் உறுப்பை அணுகப் பயன்படுத்தப்படும் குறியீடு, அந்தப் பட்டியலின் செல்லுபடியாகும் வரம்பிற்கு வெளியே இருப்பதால், ஒரு IndexError ஏற்படுகிறது. பைத்தானில் பட்டியல் குறியீடுகள் பூஜ்ஜியத்தில் தொடங்கி, பட்டியலின் நீளத்தை விட ஒன்று குறைவாக முடிவடையும். பட்டியலை அணுகுவதற்கு முன்பு, குறியீட்டு மதிப்பு செல்லுபடியாகும் வரம்பிற்குள் உள்ளதா என்பதைச் சரிபார்க்க வேண்டும்.",Àṣìṣe Index kan máa ń ṣẹlẹ̀ nítorí pé àtọ́ka tí a lò láti wọ inú ẹ̀yà àkójọ kan wà níta ibi tí ó yẹ nínú àkójọ náà. Àtọ́ka àkójọ nínú Python bẹ̀rẹ̀ ní òdo ó sì parí ní ọ̀kan tí ó kéré sí gígùn àkójọ náà. A gbọ́dọ̀ ṣàyẹ̀wò iye àtọ́ka náà láti rí i dájú pé ó wà láàrín ibi tí ó yẹ kí a tó wọ inú àkójọ náà.,,
T2-08,A KeyError occurs because the key used to access a dictionary does not exist in that dictionary. Python raises this error when a key lookup fails and no default value has been specified. The available keys in the dictionary should be verified before attempting to retrieve a value.,"একটি KeyError ঘটে কারণ ডিকশনারি অ্যাক্সেস করার জন্য ব্যবহৃত কী-টি সেই ডিকশনারিতে বিদ্যমান থাকে না। যখন কী খোঁজা ব্যর্থ হয় এবং কোনো ডিফল্ট মান নির্দিষ্ট করা থাকে না, তখন পাইথন এই ত্রুটিটি দেখায়। কোনো মান পুনরুদ্ধার করার চেষ্টা করার আগে ডিকশনারিতে উপলব্ধ কী-গুলো যাচাই করে নেওয়া উচিত।",KeyError तब उत्पन्न होता है जब किसी शब्दकोश में उपयोग की जाने वाली कुंजी उस शब्दकोश में मौजूद नहीं होती है। Python यह त्रुटि तब उत्पन्न करता है जब कुंजी खोज विफल हो जाती है और कोई डिफ़ॉल्ट मान निर्दिष्ट नहीं किया गया होता है। मान प्राप्त करने का प्रयास करने से पहले शब्दकोश में उपलब्ध कुंजियों की जाँच अवश्य कर लें।,يحدث خطأ KeyError لأن المفتاح المستخدم للوصول إلى قاموس غير موجود فيه. يُصدر بايثون هذا الخطأ عند فشل البحث عن مفتاح وعدم تحديد قيمة افتراضية. يجب التحقق من المفاتيح المتاحة في القاموس قبل محاولة استرداد أي قيمة.,"ஒரு அகராதியை அணுகப் பயன்படுத்தப்படும் திறவுகோல் அந்த அகராதியில் இல்லாதபோது KeyError ஏற்படுகிறது. திறவுகோல் தேடல் தோல்வியடையும்போதும், இயல்புநிலை மதிப்பு எதுவும் குறிப்பிடப்படாதபோதும் பைதான் இந்தப் பிழையை எழுப்புகிறது. ஒரு மதிப்பைப் பெற முயற்சிக்கும் முன், அகராதியில் உள்ள கிடைக்கக்கூடிய திறவுகோல்களைச் சரிபார்க்க வேண்டும்.",Èsì KeyError kan wáyé nítorí pé kọ́kọ́rọ́ tí a lò láti wọ inú ìwé atúmọ̀ èdè kò sí nínú ìwé atúmọ̀ èdè náà. Python gbé àṣìṣe yìí dìde nígbà tí wíwá kọ́kọ́rọ́ bá kùnà tí a kò sì tíì sọ iye àìyípadà kan. Àwọn kọ́kọ́rọ́ tó wà nínú ìwé atúmọ̀ èdè náà gbọ́dọ̀ jẹ́rìí sí kí a tó gbìyànjú láti gba iye kan.,,
